Quantidade;Preco_Real;Preco_Previsto
937;140.44;60.81724671091126
845;231.58;68.3196623220134
15;9.37;136.00449881347836
281;0.72;114.31273193790042
677;2.87;82.0197256118521
440;240.77;101.34660061001739
669;17.6;82.67210957803488
779;5.73;73.70183004302146
146;4019.33;125.32171136723508
261;1.05;115.94369185335742
680;34.18;81.77508162453354
407;34.23;104.03768447052141
652;49.56;84.05842550617332
464;23.49;99.389448711469
956;13.5;59.26783479122713
11;75.46;136.33069079656974
850;97.9;67.91192234314916
305;224.8;112.35558003935205
31;275.63;134.69973088111277
983;32.94;57.06603890536019
157;37.21;124.42468341373375
356;221.63;108.19663225493673
317;26.7;111.37700409007785
68;1.04;131.68245503751734
4;25.93;136.90152676697969
14;24.1;136.0860468092512
552;6.91;92.21322508345825
426;37.88;102.48827255083728
30;62.96;134.7812788768856
775;42.39;74.02802202611285
151;1.06;124.91397138837084
477;19.68;98.32932476642196
131;22.0;126.54493130382782
3;117.76;136.98307476275255
644;94.05;84.71080947235612
881;43.88;65.38393447419082
670;96.31;82.59056158226204
129;5309.48;126.70802729537353
95;31.87;129.4806591516504
183;1.3;122.30443552363965
601;16.49;88.21737329058864
630;238.9;85.85248141317601
864;8.41;66.77025040232927
28;280.73;134.9443748684313
198;11.4;121.08121558704693
915;55.06;62.61130261791395
552;77.19;92.21322508345825
28;97.49;134.9443748684313
483;22.57;97.84003679178485
472;5.43;98.7370647452862
252;154.78;116.67762381531305
661;57.34;83.32449354421769
787;35.69;73.04944607683866
14;93.74;136.0860468092512
563;13.15;91.31619712995692
453;207.77;100.28647666497034
369;0.49;107.13650830988968
484;117.71;97.75848879601202
44;226.94;133.63960693606572
713;33.02;79.0839977640295
442;14.54;101.18350461847169
888;73.82;64.81309850378088
965;112.41;58.53390282927148
27;97.64;135.02592286420415
699;219.17;80.2256697048494
936;33.78;60.898794706684114
435;24.24;101.75434058888163
315;283.36;111.54010008162355
662;4.17;83.24294554844482
690;26.16;80.95960166680504
381;5.38;106.15793236061549
85;0.72;130.29613910937888
522;32.16;94.65966495664374
47;1.79;133.39496294874718
915;4.47;62.61130261791395
586;55.95;89.44059322718138
844;72.34;68.40121031778625
779;23.0;73.70183004302146
626;29.59;86.17867339626741
32;34.5;134.6181828853399
201;13.95;120.83657159972837
96;15.07;129.39911115587756
958;47.97;59.10473879968143
422;119.05;102.81446453392867
996;1.32;56.00591496031315
8;161.62;136.5753347838883
461;1.29;99.63409269878755
973;110.68;57.88151886308869
31;18.1;134.69973088111277
161;51.83;124.09849143064235
950;73.9;59.757122765864224
13;240.81;136.16759480502404
775;15.92;74.02802202611285
283;1.14;114.14963594635472
155;35.79;124.58777940527945
314;28.98;111.6216480773964
4;0.45;136.90152676697969
527;91.26;94.25192497777948
665;6.07;82.99830156112628
751;20.39;75.98517392466124
549;6.85;92.45786907077681
867;16.47;66.52560641501071
30;27.51;134.7812788768856
44;5.53;133.63960693606572
494;63.6;96.94300883828352
420;20.1;102.97756052547436
391;25.65;105.342452402887
20;9.91;135.5967588346141
100;1.12;129.07291917278616
47;1.8;133.39496294874718
737;8.17;77.12684586548113
17;0.88;135.84140282193266
675;32.77;82.1828216033978
913;190.48;62.77439860945964
968;255.41;58.28925884195293
602;92.55;88.13582529481579
682;59.46;81.61198563298784
83;162.86;130.4592351009246
703;197.59;79.899477721758
718;119.95;78.67625778516526
362;8.33;107.70734428029962
38;151.27;134.12889491070283
998;279.82;55.842818968767446
201;7.73;120.83657159972837
984;118.63;56.984490909587336
651;256.87;84.13997350194617
670;132.21;82.59056158226204
660;54.12;83.40604153999053
20;0.79;135.5967588346141
35;27.0;134.37353889802137
372;30.99;106.89186432257114
646;24.29;84.54771348081042
414;1.11;103.46684850011147
5;182.23;136.81997877120685
117;289.5;127.68660324464771
957;149.36;59.18628679545428
117;34.33;127.68660324464771
2;6.15;137.0646227585254
808;34.52;71.33693816560883
765;115.24;74.84350198384135
14;5.03;136.0860468092512
409;27.13;103.87458847897571
69;84.25;131.60090704174448
279;219.43;114.47582792944613
691;1.74;80.8780536710322
295;230.94;113.17105999708053
234;2.39;118.14548773922435
642;129.22;84.87390546390182
618;12.95;86.8310573624502
877;99.31;65.71012645728221
276;42.94;114.72047191676467
31;139.6;134.69973088111277
976;15.7;57.63687487577013
776;239.56;73.94647403034
564;6.6;91.23464913418407
149;34.98;125.07706737991654
824;116.99;70.03217023324324
11;9.74;136.33069079656974
980;223.14;57.31068289267874
569;81.46;90.82690915531981
355;2.39;108.27818025070957
